             1             1
             2             1
             3            -1
             4            -2
             5            -1
             6            -1
             7             1
             8            -7
             9             1
            10             1
            11            -9
            12           -10
            13            -7
            14            -7
            15            -9
            16           -10
            17            -9
            18           -10
            19             1
            20             1
            21           -19
            22           -20
            23           -19
            24           -20
            25           -19
            26           -20
            27             1
            28           -27
            29           -27
            30           -27
